Protein A;Gene A;Protein B;Gene B;Score;PMID
Q9DBK0;ACOT12;P62259;YWHAE;0.081;16615898 
P62259;YWHAE;P16331;PAH;0.081;16615898 
P62259;YWHAE;P15508;SPTB;0.081;16615898 
P62259;YWHAE;P14733;LMNB1;0.081;16615898 
P62259;YWHAE;P15105;GLUL;0.081;16615898 
P62259;YWHAE;P15066;JUND;0.081;16615898 
P62259;YWHAE;P14824;ANXA6;0.081;16615898 
P62259;YWHAE;P14901;HMOX1;0.081;16615898 
Q9CWR1;WDR73;P62259;YWHAE;0.081;16615898 
Q8R2Y8;PTRH2;P62259;YWHAE;0.081;16615898 
P97366;EVI5;P63001;RAC1;0.183;15102471 
P97367;MEIS2;O35317;PBX3;0.183;20211142 
P97367;MEIS2;O35984;PBX2;0.183;20211142 
P97367;MEIS2;P15806;TCF3;0.183;20211142 
P97367;MEIS2;P41778;PBX1;0.183;20211142 
P97367;MEIS2;P63015;PAX6;0.183;20211142 
Q99NE9;PBX4;P97367;MEIS2;0.183;20211142 
P97875;JDP2;P97368;MEIS3;0.183;20211142 
Q62424;HOXA13;P97368;MEIS3;0.309;15617687 
Q99NE9;PBX4;P97368;MEIS3;0.183;20211142 
Q6NZM9;HDAC4;P97369;NCF4;0.183;15102471 
P97372;PSME2;P97371;PSME1;0.126;15944286 
P97377;CDK2;O89033;CDC6;0.21;18356301 
P97377;CDK2;P02340;TP53;0.309;16102793 
P62259;YWHAE;P15306;THBD;0.081;16615898 
P97377;CDK2;P10417;BCL2;0.309;16102793 
P97377;CDK2;P10922;H1F0;0.309;14561402 
P62259;YWHAE;P15116;CDH2;0.081;16615898 
Q8R2Y2;MCAM;P62259;YWHAE;0.081;16615898 
P62259;YWHAE;P15327;BPGM;0.081;16615898 
P97377;CDK2;P17918;PCNA;0.21;12970760 
P97377;CDK2;P30280;CCND2;0.21;9584157 
P62259;YWHAE;P15331;PRPH;0.081;16615898 
P97377;CDK2;P41155;LTB;0.309;7604037 
P97377;CDK2;P42669;PURA;0.126;15707957 
Q9DBK7;UBA7;P62259;YWHAE;0.081;16615898 
P97377;CDK2;P43276;HIST1H1B;0.309;16627785 
Q9DBJ3;BAIAP2L1;P62259;YWHAE;0.081;16615898 
Q8R311;CTAGE5;P62259;YWHAE;0.081;16615898 
P97801;SMN1;P97377;CDK2;0.126;12420317 
P97929;BRCA2;P97377;CDK2;0.309;25218637 
Q61456;CCNA1;P97377;CDK2;0.74;15155733 15707957 18356301 12121977 
Q8R2Y9;NABP2;P62259;YWHAE;0.081;16615898 
Q61937;NPM1;P97377;CDK2;0.309;16376875 
Q62120;JAK2;P97378;IL12RB2;0.21;9038232 
P97393;ARHGAP5;P12367;PRKAR2A;0.183;15102471 
P97401;FRZB;P27467;WNT3A;0.309;17462603 
P97427;CRMP1;O08553;DPYSL2;0.309;10956643 
Q62188;DPYSL3;P97427;CRMP1;0.309;10956643 
P62259;YWHAE;P15532;NME1;0.081;16615898 
P97429;ANXA4;P27773;PDIA3;0.126;17205597 
Q9R100;CDH17;P97429;ANXA4;0.126;17205597 
P97432;NBR1;P0CG49;UBB;0.309;19427866 
Q9DBJ1;PGAM1;P62259;YWHAE;0.081;16615898 
